Holdings details

Growth ETF (VUG)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.27%,Specialty Retail,US,---,"$597,958,121.54","549,887"
,2210614,Marriott International Inc/MD,MAR,0.26%,"Hotels, Restaurants & Leisure",US,---,"$579,781,856.58","2,320,334"
,B11FJK3,TransDigm Group Inc,TDG,0.26%,Aerospace & Defense,US,---,"$575,277,702.66","488,459"
,BNKJSM5,Marvell Technology Inc,MRVL,0.26%,Semiconductors & Semiconductor Equipment,US,---,"$574,714,203.24","8,020,014"
,B8K6ZD1,Workday Inc,WDAY,0.25%,Software,US,---,"$566,954,422.02","1,924,097"
,BLP1HW5,Aon PLC,AON,0.25%,Insurance,US,---,"$558,670,320.00","1,768,000"
,2252058,Moody's Corp,MCO,0.25%,Capital Markets,US,---,"$548,607,931.04","1,445,912"
,2749602,Roper Technologies Inc,ROP,0.24%,Software,US,---,"$540,881,482.55","992,935"
,BMGYYH4,Airbnb Inc,ABNB,0.24%,"Hotels, Restaurants & Leisure",US,---,"$540,771,033.87","3,434,121"
,2304227,Ecolab Inc,ECL,0.24%,Chemicals,US,---,"$536,333,336.00","2,385,400"
,BN134B7,Snowflake Inc,SNOW,0.23%,IT Services,US,---,"$519,300,904.68","2,758,131"
,2065159,Autodesk Inc,ADSK,0.23%,Software,US,---,"$513,036,714.85","1,987,205"
,2690830,Pioneer Natural Resources Co,PXD,0.23%,"Oil, Gas & Consumable Fuels",US,---,"$509,933,783.82","2,168,178"
,2197137,Cintas Corp,CTAS,0.23%,Commercial Services & Supplies,US,---,"$505,733,717.47","804,527"
,B23FN39,Lululemon Athletica Inc,LULU,0.23%,"Textiles, Apparel & Luxury Goods",US,---,"$500,898,441.29","1,072,381"
,2065955,AutoZone Inc,AZO,0.22%,Specialty Retail,US,---,"$492,689,684.02","163,901"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.22%,"Hotels, Restaurants & Leisure",US,---,"$487,058,016.00","2,383,800"
,2567116,Edwards Lifesciences Corp,EW,0.21%,Health Care Equipment & Supplies,US,---,"$478,351,932.30","5,636,290"
,BYVYHH4,Welltower Inc,WELL,0.21%,Health Care REITs,US,---,"$476,322,877.44","5,168,434"
,2746711,Ross Stores Inc,ROST,0.21%,Specialty Retail,US,---,"$468,773,544.96","3,146,976"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.21%,Software,US,---,"$458,227,124.52","18,270,619"
,2459202,IDEXX Laboratories Inc,IDXX,0.20%,Health Care Equipment & Supplies,US,---,"$444,022,913.15","771,905"
,2208073,Copart Inc,CPRT,0.19%,Commercial Services & Supplies,US,---,"$426,951,133.05","8,032,947"
,2592174,Microchip Technology Inc,MCHP,0.19%,Semiconductors & Semiconductor Equipment,US,---,"$423,201,902.90","5,029,735"
,B5B2106,Fortinet Inc,FTNT,0.19%,Software,US,---,"$419,246,416.04","6,066,364"
,2852533,Public Storage,PSA,0.19%,Specialized REITs,US,---,"$417,500,950.89","1,470,747"
,2342034,Fiserv Inc,FI,0.19%,Financial Services,US,---,"$416,373,738.00","2,789,400"
,B0796X4,Dexcom Inc,DXCM,0.19%,Health Care Equipment & Supplies,US,---,"$413,307,390.37","3,591,791"
,BN44JF6,Apollo Global Management Inc,APO,0.19%,Financial Services,US,---,"$412,849,785.40","3,692,753"
,BYNZGK1,Block Inc,SQ,0.18%,Financial Services,US,---,"$408,978,209.34","5,146,322"
,2380863,WW Grainger Inc,GWW,0.18%,Trading Companies & Distributors,US,---,"$404,257,495.34","415,279"
,2656423,Old Dominion Freight Line Inc,ODFL,0.18%,Ground Transportation,US,---,"$403,881,584.64","912,768"
,BZ07BW4,Monster Beverage Corp,MNST,0.18%,Beverages,US,---,"$399,951,862.50","6,767,375"
,BYVG1F6,Waste Connections Inc,WCN,0.18%,Commercial Services & Supplies,US,---,"$398,541,412.20","2,394,505"
,B2972D2,MSCI Inc,MSCI,0.18%,Capital Markets,US,---,"$391,789,301.58","698,414"
,2332262,Fastenal Co,FAST,0.17%,Trading Companies & Distributors,US,---,"$387,731,067.57","5,310,657"
,2023748,Hess Corp,HES,0.17%,"Oil, Gas & Consumable Fuels",US,---,"$374,585,224.75","2,570,053"
,2520153,Agilent Technologies Inc,A,0.17%,Life Sciences Tools & Services,US,---,"$372,998,744.88","2,715,483"
,2674458,Paychex Inc,PAYX,0.17%,Professional Services,US,---,"$370,559,234.06","3,022,013"
,BN13P03,DoorDash Inc,DASH,0.16%,"Hotels, Restaurants & Leisure",US,---,"$364,814,580.87","2,928,591"
,2098876,Yum! Brands Inc,YUM,0.16%,"Hotels, Restaurants & Leisure",US,---,"$360,543,266.10","2,604,705"
,BD8FDD1,Trade Desk Inc/The,TTD,0.16%,Media,US,---,"$354,285,984.13","4,147,091"
,BKT9Y49,Datadog Inc,DDOG,0.15%,Software,US,---,"$332,231,890.62","2,527,247"
,2209106,Colgate-Palmolive Co,CL,0.15%,Household Products,US,---,"$331,040,055.36","3,826,168"
,2262864,CoStar Group Inc,CSGP,0.15%,Real Estate Management & Development,US,---,"$330,344,644.68","3,795,756"
,2931205,Vulcan Materials Co,VMC,0.15%,Construction Materials,US,---,"$328,381,376.05","1,235,213"
,2654364,Cheniere Energy Inc,LNG,0.15%,"Oil, Gas & Consumable Fuels",US,---,"$326,582,238.40","2,104,267"
,2150204,Quanta Services Inc,PWR,0.15%,Construction & Engineering,US,---,"$326,055,405.70","1,350,070"
,B4P9W92,Verisk Analytics Inc,VRSK,0.15%,Professional Services,US,---,"$325,945,736.00","1,347,440"
,2372763,Gartner Inc,IT,0.14%,IT Services,US,---,"$320,482,658.36","688,381"
,2779201,Schlumberger NV,SLB,0.14%,Energy Equipment & Services,US,---,"$319,695,023.88","6,614,836"
,2319146,Equifax Inc,EFX,0.14%,Professional Services,US,---,"$313,363,419.84","1,145,376"
,2320524,Estee Lauder Cos Inc/The,EL,0.14%,Personal Care Products,US,---,"$304,810,384.20","2,051,490"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.14%,Semiconductors & Semiconductor Equipment,US,---,"$304,615,082.12","423,053"
,2754060,Rockwell Automation Inc,ROK,0.14%,Electrical Equipment,US,---,"$303,775,831.48","1,065,581"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.14%,"Oil, Gas & Consumable Fuels",US,---,"$303,613,806.60","1,663,455"
,BQ1PC76,Atlassian Corp,TEAM,0.13%,Software,US,---,"$298,790,376.78","1,440,509"
,BGSXTS3,Moderna Inc,MRNA,0.13%,Biotechnology,US,---,"$294,205,660.08","3,189,567"
,BMC9P69,Coinbase Global Inc,COIN,0.13%,Capital Markets,US,---,"$290,742,712.40","1,428,290"
,BF2FJ99,MongoDB Inc,MDB,0.13%,IT Services,US,---,"$282,008,073.34","630,073"
,2330299,Fair Isaac Corp,FICO,0.12%,Software,US,---,"$277,037,216.05","218,155"
,BFH3N85,Veeva Systems Inc,VEEV,0.12%,Health Care Technology,US,---,"$275,748,441.27","1,222,777"
,BR4T3B3,HubSpot Inc,HUBS,0.12%,Software,US,---,"$274,937,283.00","444,300"
,2045623,ANSYS Inc,ANSS,0.12%,Software,US,---,"$269,761,405.86","807,258"
,2422806,Hershey Co/The,HSY,0.12%,Food Products,US,---,"$261,733,284.72","1,392,791"
,BJXC5M2,Cloudflare Inc,NET,0.12%,IT Services,US,---,"$257,404,611.36","2,612,184"
,2900335,Tractor Supply Co,TSCO,0.11%,Specialty Retail,US,---,"$255,659,757.76","1,005,268"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.11%,Communications Equipment,US,---,"$254,916,038.79","771,561"
,2126249,Mettler-Toledo International Inc,MTD,0.11%,Life Sciences Tools & Services,US,---,"$251,350,999.38","201,529"
,B28TS42,Ulta Beauty Inc,ULTA,0.11%,Specialty Retail,US,---,"$250,991,433.76","457,546"
,2950482,West Pharmaceutical Services Inc,WST,0.11%,Life Sciences Tools & Services,US,---,"$246,406,185.84","687,594"
,B424494,Splunk Inc,SPLK,0.11%,Software,US,---,"$244,786,741.92","1,566,936"
,2732903,ResMed Inc,RMD,0.11%,Health Care Equipment & Supplies,US,---,"$237,582,251.52","1,367,616"
,2122117,Take-Two Interactive Software Inc,TTWO,0.10%,Entertainment,US,---,"$232,220,954.91","1,580,487"
,2195841,Church & Dwight Co Inc,CHD,0.10%,Household Products,US,---,"$229,309,541.64","2,290,347"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.10%,Professional Services,US,---,"$222,632,441.46","1,093,587"
,BZ6TS23,SBA Communications Corp,SBAC,0.09%,Specialized REITs,US,---,"$209,743,450.42","1,002,454"
,BDR73G1,IQVIA Holdings Inc,IQV,0.09%,Life Sciences Tools & Services,US,---,"$209,543,483.80","847,805"
,B783TY6,Aptiv PLC,APTV,0.09%,Automobile Components,US,---,"$209,041,212.20","2,629,780"
,2613990,Illumina Inc,ILMN,0.09%,Life Sciences Tools & Services,US,---,"$206,458,016.19","1,476,493"
,BF14BT1,Ares Management Corp,ARES,0.09%,Capital Markets,US,---,"$205,857,542.97","1,552,119"
,2679204,Align Technology Inc,ALGN,0.09%,Health Care Equipment & Supplies,US,---,"$204,506,988.70","676,235"
,2724193,Realty Income Corp,O,0.09%,Retail REITs,US,---,"$201,465,284.94","3,866,154"
,BJ2Z0H2,Pinterest Inc,PINS,0.09%,Interactive Media & Services,US,---,"$199,919,800.20","5,447,406"
,BZ00V34,Zscaler Inc,ZS,0.09%,Software,US,---,"$198,534,691.21","820,493"
,B02T2J7,Las Vegas Sands Corp,LVS,0.09%,"Hotels, Restaurants & Leisure",US,---,"$193,747,069.76","3,553,688"
,B75JX34,LPL Financial Holdings Inc,LPLA,0.08%,Capital Markets,US,---,"$188,217,102.99","702,591"
,2503477,Teledyne Technologies Inc,TDY,0.08%,"Electronic Equipment, Instruments & Components",US,---,"$187,392,076.60","438,580"
,2937689,Waters Corp,WAT,0.08%,Life Sciences Tools & Services,US,---,"$185,517,902.46","549,813"
,BMWBC20,ROBLOX Corp,RBLX,0.08%,Entertainment,US,---,"$180,814,830.00","4,531,700"
,B00FWN1,Alnylam Pharmaceuticals Inc,ALNY,0.08%,Biotechnology,US,---,"$176,158,248.44","1,165,916"
,2146838,Brown-Forman Corp,BF/B,0.08%,Beverages,US,---,"$173,297,369.80","2,877,260"
,BQPDXR3,Cooper Cos Inc/The,COO,0.08%,Health Care Equipment & Supplies,US,---,"$172,265,932.80","1,840,448"
,2162340,Coterra Energy Inc,CTRA,0.08%,"Oil, Gas & Consumable Fuels",US,---,"$171,236,689.40","6,642,230"
,2909644,Tyler Technologies Inc,TYL,0.08%,Software,US,---,"$171,086,541.78","391,377"
,B748CK2,Expedia Group Inc,EXPE,0.08%,"Hotels, Restaurants & Leisure",US,---,"$169,604,808.40","1,239,620"
,2572079,Martin Marietta Materials Inc,MLM,0.07%,Construction Materials,US,---,"$166,014,789.57","287,367"
,2329770,FactSet Research Systems Inc,FDS,0.07%,Capital Markets,US,---,"$163,331,909.62","353,089"
,B44Z3T8,EPAM Systems Inc,EPAM,0.07%,IT Services,US,---,"$163,272,854.40","536,376"
,2445416,JB Hunt Transport Services Inc,JBHT,0.07%,Ground Transportation,US,---,"$158,216,044.35","766,885"
,2583576,ON Semiconductor Corp,ON,0.07%,Semiconductors & Semiconductor Equipment,US,---,"$157,982,924.12","2,001,811"
,2142922,VeriSign Inc,VRSN,0.07%,IT Services,US,---,"$157,547,473.44","806,736"
,BDFZSP1,Okta Inc,OKTA,0.07%,IT Services,US,---,"$156,369,470.30","1,457,311"
,2860257,Sun Communities Inc,SUI,0.07%,Residential REITs,US,---,"$154,757,644.80","1,156,980"
,B65SQW4,Enphase Energy Inc,ENPH,0.07%,Semiconductors & Semiconductor Equipment,US,---,"$153,047,685.05","1,205,005"
,BGSP7M9,Zoom Video Communications Inc,ZM,0.07%,Software,US,---,"$152,600,470.11","2,157,507"
,2437071,BioMarin Pharmaceutical Inc,BMRN,0.07%,Biotechnology,US,---,"$151,043,666.16","1,750,622"
,2046853,Albemarle Corp,ALB,0.07%,Chemicals,US,---,"$150,300,336.30","1,090,318"
,BWFRFC6,GoDaddy Inc,GDDY,0.07%,IT Services,US,---,"$149,320,642.35","1,308,109"
,2884183,Teradyne Inc,TER,0.07%,Semiconductors & Semiconductor Equipment,US,---,"$147,265,201.44","1,421,616"
,B01SD70,Domino's Pizza Inc,DPZ,0.07%,"Hotels, Restaurants & Leisure",US,---,"$145,438,911.45","324,387"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.07%,Entertainment,US,---,"$145,266,535.96","1,497,902"
,B1HMF22,First Solar Inc,FSLR,0.07%,Semiconductors & Semiconductor Equipment,US,---,"$145,238,611.98","943,782"
,BDHLTQ5,Baker Hughes Co,BKR,0.06%,Energy Equipment & Services,US,---,"$138,464,274.52","4,679,428"
,2405302,Halliburton Co,HAL,0.06%,Energy Equipment & Services,US,---,"$131,272,901.76","3,743,168"
,BZ6VT82,Charter Communications Inc,CHTR,0.06%,Media,US,---,"$131,250,032.55","446,535"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.06%,"Hotels, Restaurants & Leisure",US,---,"$124,881,883.65","1,012,419"
,BF311Y5,Burlington Stores Inc,BURL,0.06%,Specialty Retail,US,---,"$123,068,409.10","600,041"
,2747305,Rollins Inc,ROL,0.05%,Commercial Services & Supplies,US,---,"$119,012,489.31","2,700,533"
,BJXMVK2,Tradeweb Markets Inc,TW,0.05%,Capital Markets,US,---,"$112,784,014.20","1,065,810"
,BMC1PR6,Bentley Systems Inc,BSY,0.05%,Software,US,---,"$108,524,364.74","2,112,602"
,2237561,HEICO Corp,HEI/A,0.05%,Aerospace & Defense,US,---,"$108,411,533.43","696,777"
,BFY8C75,STERIS PLC,STE,0.05%,Health Care Equipment & Supplies,US,---,"$106,920,130.42","459,062"
,BD8DJ71,Snap Inc,SNAP,0.05%,Interactive Media & Services,US,---,"$106,854,603.50","9,696,425"
,B1XGNW4,Insulet Corp,PODD,0.05%,Health Care Equipment & Supplies,US,---,"$106,418,616.00","648,894"
,2471950,Incyte Corp,INCY,0.05%,Biotechnology,US,---,"$103,256,639.80","1,769,305"
,BD81GW9,Invitation Homes Inc,INVH,0.04%,Residential REITs,US,---,"$96,990,441.93","2,846,799"
,BD6P5Q0,Twilio Inc,TWLO,0.04%,IT Services,US,---,"$95,338,398.54","1,599,906"
,BPGMZQ5,Veralto Corp,VLTO,0.04%,Commercial Services & Supplies,US,---,"$94,013,811.82","1,087,871"
,2692687,Brown & Brown Inc,BRO,0.04%,Insurance,US,---,"$89,177,547.90","1,058,990"
,BL95MY0,Paycom Software Inc,PAYC,0.04%,Professional Services,US,---,"$86,793,199.74","475,866"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.04%,"Technology Hardware, Storage & Peripherals",US,---,"$86,024,725.00","924,500"
,2419217,HEICO Corp,HEI,0.03%,Aerospace & Defense,US,---,"$73,978,207.60","382,514"
,BLFDXH8,Unity Software Inc,U,0.03%,Software,US,---,"$72,444,618.32","2,470,826"
,2319414,EQT Corp,EQT,0.03%,"Oil, Gas & Consumable Fuels",US,---,"$70,964,895.90","1,910,226"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.03%,Food Products,US,---,"$68,804,807.91","673,171"
,BRTLC06,Liberty Broadband Corp,LBRDK,0.03%,Media,US,---,"$66,711,515.94","1,108,533"
,2469193,Jack Henry & Associates Inc,JKHY,0.03%,Financial Services,US,---,"$58,857,984.24","338,712"
,B1WT4X2,Interactive Brokers Group Inc,IBKR,0.02%,Capital Markets,US,---,"$51,272,460.72","471,601"
,BFYT7B7,DocuSign Inc,DOCU,0.02%,Software,US,---,"$50,342,387.34","945,042"
,BK80XH9,Match Group Inc,MTCH,0.02%,Interactive Media & Services,US,---,"$45,571,823.16","1,264,479"
,BM99VY2,Texas Pacific Land Corp,TPL,0.02%,"Oil, Gas & Consumable Fuels",US,---,"$45,034,956.12","28,586"
,BLGJ610,Warner Music Group Corp,WMG,0.02%,Entertainment,US,---,"$40,349,843.59","1,155,163"
,BZ1LFG7,Roku Inc,ROKU,0.02%,Entertainment,US,---,"$36,638,524.26","579,907"
,2781585,Pool Corp,POOL,0.02%,Distributors,US,---,"$34,055,582.92","85,541"
,BKDS4H5,BILL Holdings Inc,BILL,0.01%,Software,US,---,"$29,940,017.46","472,762"
,2146816,Brown-Forman Corp,BF/A,0.01%,Beverages,US,---,"$28,635,855.48","477,742"
,2166320,Camden Property Trust,CPT,0.01%,Residential REITs,US,---,"$23,349,314.80","247,135"
,BYXJF62,Zillow Group Inc,Z,<0.01%,Real Estate Management & Development,US,---,"$20,178,625.50","359,370"
,BRTLBY3,Liberty Broadband Corp,LBRDA,<0.01%,Media,US,---,"$9,349,234.80","155,432"
,BPG82M8,Symbotic Inc,SYM,<0.01%,Machinery,US,---,"$9,145,528.00","232,120"
,BJLFHW7,Chewy Inc,CHWY,<0.01%,Specialty Retail,US,---,"$8,326,379.88","472,017"
,BP0TR77,Lucid Group Inc,LCID,<0.01%,Automobiles,US,---,"$6,959,030.10","2,108,797"
,BVYJBR3,Zillow Group Inc,ZG,<0.01%,Real Estate Management & Development,US,---,"$4,937,840.40","91,340"


Fixed income,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.16%,"$362,498,277.92"
,---,SLBBH1142,---,<0.01%,"$16,138,200.22"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Industry Classification Benchmark system (“ICB”), except for the “Other” category (if applicable), which includes securities that have not been provided an ICB classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
